index,breed_model,breed_CIDD,disease,genetic_disease,effective_ingredients,food
1,Afghan_hound,Afghan hound,Cataracts,1,"Herring, Pumpkin, Bell pepper, Chickpeas, Blueberry",Eye Protect Herring Plate
1,Afghan_hound,Afghan hound,Cataracts,1,"Herring, Bell pepper, Chickpeas",Herring & Bell pepper Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Herring, Corn, Chickpeas",Herring & Corn Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Mackerel, Broccoli, Chickpeas",Mackerel & Broccoli Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Mackerel, Peas, Chickpeas",Mackerel & Peas Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Oysters, Bell pepper, Chickpeas",Oysters & Bell pepper Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Oysters, Corn, Chickpeas",Oysters & Corn Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Beef, Sweet potato, Spinach, Bell pepper, Sunflower seeds",Retina Guard Beef Mix
1,Afghan_hound,Afghan hound,Cataracts,1,"Salmon, Kale, Chickpeas",Salmon & Kale Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Salmon, Spinach, Chickpeas",Salmon & Spinach Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Sardines, Broccoli, Chickpeas",Sardines & Broccoli Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Sardines, Peas, Chickpeas",Sardines & Peas Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Salmon, Sweet potato, Carrot, Kale, Sunflower seeds",Vision Shield Salmon Stew
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Beef liver, Broccoli, Sunflower seeds",Beef liver & Broccoli with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Beef liver, Spinach, Sunflower seeds",Beef liver & Spinach with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Egg yolk, Sweet potato, Spinach, Carrot, Blueberry",Bright Eyes Egg yolk Bowl #1
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Sardine, Sweet potato, Kale, Broccoli, Blueberry",Clear Sight Sardine Dinner #3
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Beef, Sweet potato, Spinach, Carrot, Blueberry",Eye Protect Beef Plate
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Herring, Pumpkin, Sunflower seeds",Herring & Pumpkin with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Herring, Spinach, Sunflower seeds",Herring & Spinach with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Mackerel, Kale, Sunflower seeds",Mackerel & Kale with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Mackerel, Pumpkin, Sunflower seeds",Mackerel & Pumpkin with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Oysters, Broccoli, Sunflower seeds",Oysters & Broccoli with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Egg (whole), Pumpkin, Broccoli, Spinach, Sunflower seeds",Retina Guard Egg Mix
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Salmon, Carrot, Pumpkin seeds",Salmon & Carrot with Pumpkin seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Salmon, Carrot, Sunflower seeds",Salmon & Carrot with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Salmon, Sardines, Carrot",Salmon & Sardines Stew with Carrot
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Salmon, Carrot, Kale",Salmon with Carrot & Kale
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Salmon, Carrot, Sweet potato",Salmon with Carrot & Sweet potato
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Sardines, Kale, Sunflower seeds",Sardines & Kale with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Sardines, Sweet potato, Sunflower seeds",Sardines & Sweet potato with Sunflower seeds
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Sardines, Carrot, Sweet potato",Sardines with Carrot & Sweet potato
1,Afghan_hound,Afghan hound,Corneal dystrophy,1,"Salmon, Pumpkin, Carrot, Kale, Sunflower seeds",Vision Shield Salmon Stew #2
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Beef, Spinach, Chickpeas",Beef & Spinach Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Beef, Sweet potato, Chickpeas",Beef & Sweet potato Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Chicken, Chickpeas",Chicken & Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Egg (whole), Sweet potato, Spinach, Bell pepper, Sunflower seeds",Coat Shine Egg Stew #2
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Sardine, Sweet potato, Bell pepper, Broccoli, Blueberry",Derma Care Sardine Dinner
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Beef liver, Sweet potato, Chickpeas, Kale, Blueberry",Fur Renewal Beef liver Plate
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Herring, Chickpeas",Herring & Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Herring, Kale, Chickpeas",Herring & Kale Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Yogurt, Sweet potato, Broccoli, Chickpeas, Sunflower seeds",Itch Relief Yogurt Mix
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Mackerel, Chickpeas",Mackerel & Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Mackerel, Kale, Chickpeas",Mackerel & Kale Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Oysters, Spinach, Chickpeas",Oysters & Spinach Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Oysters, Sweet potato, Chickpeas",Oysters & Sweet potato Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Salmon, Bell pepper, Chickpeas",Salmon & Bell pepper Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Salmon, Broccoli, Chickpeas",Salmon & Broccoli Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Sardines, Bell pepper, Chickpeas",Sardines & Bell pepper Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Sardines, Broccoli, Chickpeas",Sardines & Broccoli Chickpeas Stew
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Salmon, Sweet potato, Carrot, Spinach, Blueberry",Skin Glow Salmon Bowl #1
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Tuna, Blueberries",Tuna & Blueberries Bowl
1,Afghan_hound,Afghan hound,Demodicosis/ Demodectic mange,1,"Tuna, Chickpeas",Tuna & Chickpeas Stew
1,Afghan_hound,Afghan hound,Glaucoma,0,"Salmon, Sweet potato, Kale, Spinach, Blueberry",Bright Eyes Salmon Bowl #1
1,Afghan_hound,Afghan hound,Glaucoma,0,"Sardine, Brown rice, Carrot, Broccoli, Blueberry",Clear Sight Sardine Dinner #3
1,Afghan_hound,Afghan hound,Glaucoma,0,"Egg yolk, Sweet potato, Brown rice",Egg yolk & Sweet potato Brown Rice Bowl
1,Afghan_hound,Afghan hound,Glaucoma,0,"Egg yolk, Sweet potato, Oats",Egg yolk & Sweet potato Oat Porridge
1,Afghan_hound,Afghan hound,Glaucoma,0,"Mackerel, Sweet potato, Bell pepper, Kale, Blueberry",Eye Protect Mackerel Plate
1,Afghan_hound,Afghan hound,Glaucoma,0,"Herring, Bell pepper, Brown rice",Herring & Bell pepper Brown Rice Bowl
1,Afghan_hound,Afghan hound,Glaucoma,0,"Herring, Bell pepper, Oats",Herring & Bell pepper Oat Porridge
1,Afghan_hound,Afghan hound,Glaucoma,0,"Mackerel, Broccoli, Brown rice",Mackerel & Broccoli Brown Rice Bowl
1,Afghan_hound,Afghan hound,Glaucoma,0,"Mackerel, Broccoli, Oats",Mackerel & Broccoli Oat Porridge
1,Afghan_hound,Afghan hound,Glaucoma,0,"Herring, Oats, Broccoli, Bell pepper, Sunflower seeds",Retina Guard Herring Mix
1,Afghan_hound,Afghan hound,Glaucoma,0,"Salmon, Broccoli, Brown rice",Salmon & Broccoli Brown Rice Bowl
1,Afghan_hound,Afghan hound,Glaucoma,0,"Salmon, Kale, Blueberries",Salmon & Kale Bowl with Blueberries
1,Afghan_hound,Afghan hound,Glaucoma,0,"Salmon, Kale, Brown rice",Salmon & Kale Brown Rice Bowl
1,Afghan_hound,Afghan hound,Glaucoma,0,"Salmon, Kale, Oats",Salmon & Kale Oat Porridge
1,Afghan_hound,Afghan hound,Glaucoma,0,"Salmon, Spinach, Brown rice",Salmon & Spinach Brown Rice Bowl
1,Afghan_hound,Afghan hound,Glaucoma,0,"Salmon, Spinach, Oats",Salmon & Spinach Oat Porridge
1,Afghan_hound,Afghan hound,Glaucoma,0,"Sardines, Kale, Brown rice",Sardines & Kale Brown Rice Bowl
1,Afghan_hound,Afghan hound,Glaucoma,0,"Sardines, Spinach, Brown rice",Sardines & Spinach Brown Rice Bowl
1,Afghan_hound,Afghan hound,Glaucoma,0,"Sardines, Spinach, Oats",Sardines & Spinach Oat Porridge
1,Afghan_hound,Afghan hound,Glaucoma,0,"Egg yolk, Pumpkin, Spinach, Carrot, Cod liver oil",Vision Shield Egg yolk Stew
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Beef trachea, Bell pepper, Brown rice",Beef trachea & Bell pepper Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Beef trachea, Bell pepper, Oats",Beef trachea & Bell pepper Oat Porridge
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Bone broth, Spinach, Brown rice",Bone broth & Spinach Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Bone broth, Spinach, Oats",Bone broth & Spinach Oat Porridge
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Salmon, Oats, Bell pepper, Broccoli, Blueberry",Cartilage Care Salmon Dinner
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Chicken feet, Broccoli, Brown rice",Chicken feet & Broccoli Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Chicken feet, Broccoli, Oats",Chicken feet & Broccoli Oat Porridge
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Chicken sternum cartilage, Asparagus, Brown rice",Chicken sternum cartilage & Asparagus Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Chicken sternum cartilage, Asparagus, Oats",Chicken sternum cartilage & Asparagus Oat Porridge
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Egg (whole), Brown rice, Asparagus, Bell pepper, Bone broth",Flex & Move Egg Stew
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Green-lipped mussel, Kale, Brown rice",Green-lipped mussel & Kale Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Green-lipped mussel, Kale, Oats",Green-lipped mussel & Kale Oat Porridge
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Chicken feet, Sweet potato, Spinach, Asparagus, Blueberry",Joint Shield Chicken feet Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Chicken cartilage, Brown rice, Cabbage, Kale, Blueberry",Joint Support Chicken cartilage Plate #5
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Pork cartilage, Sweet potato, Brown rice",Pork cartilage & Sweet potato Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Pork cartilage, Sweet potato, Oats",Pork cartilage & Sweet potato Oat Porridge
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Pork ribs, Cabbage, Brown rice",Pork ribs & Cabbage Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Shark cartilage, Brown rice",Shark cartilage & Brown rice Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Shark cartilage, Cabbage, Brown rice",Shark cartilage & Cabbage Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hip dysplasia,1,"Sardine, Sweet potato, Broccoli, Cabbage, Cod liver oil",Strong Bones Sardine Mix
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Beef, Brown rice",Beef & Brown rice Bowl
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Beef, Chickpeas",Beef & Chickpeas Stew
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Beef liver, Brown rice",Beef liver & Brown rice Bowl
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Beef liver, Chickpeas",Beef liver & Chickpeas Stew
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Chicken, Pumpkin, Brown rice",Chicken & Pumpkin Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Chicken, Pumpkin, Chickpeas",Chicken & Pumpkin Chickpeas Stew
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Eggs, Carrot, Brown rice",Eggs & Carrot Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Eggs, Carrot, Chickpeas",Eggs & Carrot Chickpeas Stew
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Egg (whole), Pumpkin, Chickpeas, Spinach (cooked), Kelp/Seaweed",Endo Care Egg Dinner #3
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Fish fillet, Seaweed, Brown rice",Fish fillet & Seaweed Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Fish fillet, Seaweed, Chickpeas",Fish fillet & Seaweed Chickpeas Stew
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Salmon, Sweet potato, Spinach (cooked), Carrot, Seaweed (small amounts)",Gland Guard Salmon Mix
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Beef, Sweet potato, Spinach (cooked), Carrot, Pumpkin seeds",Hormone Balance Beef Bowl
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Sardine, Brown rice, Carrot, Chickpeas, Sunflower seeds",Metabolic Fuel Sardine Plate
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Oysters, Brown rice",Oysters & Brown rice Bowl
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Oysters, Chickpeas",Oysters & Chickpeas Stew
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Salmon, Brown rice",Salmon & Brown rice Bowl
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Chicken, Brown rice, Carrot, Chickpeas, Seaweed (small amount)",Thyroid Support Chicken Stew
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Tuna, Sweet potato, Brown rice",Tuna & Sweet potato Brown Rice Bowl
1,Afghan_hound,Afghan hound,Hypothyroidism,1,"Tuna, Sweet potato, Chickpeas",Tuna & Sweet potato Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Beef, Carrot, Chickpeas",Beef & Carrot Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Beef liver, Corn, Chickpeas",Beef liver & Corn Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Beef liver, Sweet potato, Chickpeas",Beef liver & Sweet potato Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Salmon, Pumpkin, Carrot, Kale, Blueberry",Bright Eyes Salmon Bowl #1
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Sardine, Pumpkin, Spinach, Broccoli, Blueberry",Clear Sight Sardine Dinner #3
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Egg yolk, Kale, Chickpeas",Egg yolk & Kale Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Egg yolk, Spinach, Chickpeas",Egg yolk & Spinach Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Beef liver, Pumpkin, Chickpeas, Orange pepper, Blueberry",Eye Protect Beef liver Plate #5
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Herring, Corn, Chickpeas",Herring & Corn Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Herring, Sweet potato, Chickpeas",Herring & Sweet potato Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Mackerel, Broccoli, Chickpeas",Mackerel & Broccoli Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Mackerel, Peas, Chickpeas",Mackerel & Peas Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Oysters, Carrot, Chickpeas",Oysters & Carrot Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Oysters, Chickpeas",Oysters & Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Beef, Sweet potato, Broccoli, Chickpeas, Cod liver oil",Retina Guard Beef Mix #4
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Salmon, Kale, Chickpeas",Salmon & Kale Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Salmon, Spinach, Chickpeas",Salmon & Spinach Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Sardines, Broccoli, Chickpeas",Sardines & Broccoli Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Sardines, Peas, Chickpeas",Sardines & Peas Chickpeas Stew
1,Afghan_hound,Afghan hound,Progressive retinal atrophy,0,"Egg yolk, Sweet potato, Kale, Spinach, Pumpkin seeds",Vision Shield Egg yolk Stew #2
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Beef, Chickpeas",Beef & Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Beef heart, Chickpeas",Beef heart & Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Beef liver, Kale, Chickpeas",Beef liver & Kale Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Beef liver, Spinach, Chickpeas",Beef liver & Spinach Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Sardine, Pumpkin, Broccoli, Carrot, Blueberry",Bright Eyes Sardine Bowl
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Chicken, Chickpeas",Chicken & Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Egg yolk, Pumpkin, Kale, Spinach, Blueberry",Clear Sight Egg yolk Dinner #3
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Egg yolk, Kale, Chickpeas",Egg yolk & Kale Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Egg yolk, Spinach, Chickpeas",Egg yolk & Spinach Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Beef heart, Pumpkin, Chickpeas, Broccoli, Blueberry",Eye Protect Beef heart Plate
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Mackerel, Pumpkin, Chickpeas",Mackerel & Pumpkin Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Mackerel, Sweet potato, Chickpeas",Mackerel & Sweet potato Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Oysters, Pumpkin, Chickpeas",Oysters & Pumpkin Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Oysters, Sweet potato, Chickpeas",Oysters & Sweet potato Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Beef, Sweet potato, Spinach, Chickpeas, Pumpkin seeds",Retina Guard Beef Mix #4
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Salmon, Broccoli, Chickpeas",Salmon & Broccoli Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Salmon, Carrot, Chickpeas",Salmon & Carrot Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Sardines, Broccoli, Chickpeas",Sardines & Broccoli Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Sardines, Carrot, Chickpeas",Sardines & Carrot Chickpeas Stew
1,Afghan_hound,Afghan hound,Retinal dysplasia,0,"Salmon, Sweet potato, Carrot, Kale, Pumpkin seeds",Vision Shield Salmon Stew #2
2,Airedale,Airedale terrier,Cerebellar abiotrophy(ataxia),1,"Sardine, Sweet potato, Spinach, Blueberry",Brain Boost Sardine Bowl
2,Airedale,Airedale terrier,Cerebellar abiotrophy(ataxia),1,"Salmon, Sweet potato, Spinach, Blueberry",Calm Mind Salmon Dinner
