disease,food_name,combination
Vertebral stenosis (associated with cauda equina syndrome),Chicken feet & Brown rice Bowl,"Chicken feet, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Bone broth & Brown rice Bowl,"Bone broth, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Green-lipped mussel & Brown rice Bowl,"Green-lipped mussel, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Beef trachea & Brown rice Bowl,"Beef trachea, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Shark cartilage & Brown rice Bowl,"Shark cartilage, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Pork cartilage & Brown rice Bowl,"Pork cartilage, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Salmon & Brown rice Bowl,"Salmon, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Sardines & Brown rice Bowl,"Sardines, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Beef liver & Brown rice Bowl,"Beef liver, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Eggs & Brown rice Bowl,"Eggs, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Green-lipped mussel & Spinach Brown Rice Bowl,"Green-lipped mussel, Spinach, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Chicken feet & Spinach with Cod liver oil,"Chicken feet, Spinach, Cod liver oil"
Vertebral stenosis (associated with cauda equina syndrome),Beef trachea & Spinach Brown Rice Bowl,"Beef trachea, Spinach, Brown rice"
Myelodysplasia (spinal dysraphism),Beef liver & Spinach Lentils Stew,"Beef liver, Spinach, Lentils"
Myelodysplasia (spinal dysraphism),Beef liver & Broccoli Lentils Stew,"Beef liver, Broccoli, Lentils"
Myelodysplasia (spinal dysraphism),Sardines & Spinach Lentils Stew,"Sardines, Spinach, Lentils"
Myelodysplasia (spinal dysraphism),Sardines & Broccoli Lentils Stew,"Sardines, Broccoli, Lentils"
Myelodysplasia (spinal dysraphism),Mackerel & Asparagus Lentils Stew,"Mackerel, Asparagus, Lentils"
Myelodysplasia (spinal dysraphism),Mackerel & Sweet potato Lentils Stew,"Mackerel, Sweet potato, Lentils"
Myelodysplasia (spinal dysraphism),Eggs & Asparagus Lentils Stew,"Eggs, Asparagus, Lentils"
Myelodysplasia (spinal dysraphism),Eggs & Sweet potato Lentils Stew,"Eggs, Sweet potato, Lentils"
Myelodysplasia (spinal dysraphism),Chicken & Lentils Stew,"Chicken, Lentils"
Myelodysplasia (spinal dysraphism),Salmon & Lentils Stew,"Salmon, Lentils"
Myelodysplasia (spinal dysraphism),Herring & Lentils Stew,"Herring, Lentils"
Myelodysplasia (spinal dysraphism),Beef liver & Asparagus Lentils Stew,"Beef liver, Asparagus, Lentils"
Myelodysplasia (spinal dysraphism),Mackerel & Spinach Lentils Stew,"Mackerel, Spinach, Lentils"
Myelodysplasia (spinal dysraphism),Beef liver with Spinach & Broccoli,"Beef liver, Spinach, Broccoli"
Myelodysplasia (spinal dysraphism),Beef liver & Spinach with Flaxseed oil,"Beef liver, Spinach, Flaxseed oil"
Spinal muscular atrophy/motor neuron diseases,Beef liver with Spinach & Sweet potato,"Beef liver, Spinach, Sweet potato"
Spinal muscular atrophy/motor neuron diseases,Beef liver & Spinach with Cod liver oil,"Beef liver, Spinach, Cod liver oil"
Spinal muscular atrophy/motor neuron diseases,Sardines & Sweet potato with Cod liver oil,"Sardines, Sweet potato, Cod liver oil"
Spinal muscular atrophy/motor neuron diseases,Sardines with Spinach & Sweet potato,"Sardines, Spinach, Sweet potato"
Spinal muscular atrophy/motor neuron diseases,Beef liver & Sardines Stew with Spinach,"Beef liver, Sardines, Spinach"
Spinal muscular atrophy/motor neuron diseases,Beef liver & Spinach with Sunflower seeds,"Beef liver, Spinach, Sunflower seeds"
Spinal muscular atrophy/motor neuron diseases,Beef liver & Sweet potato with Cod liver oil,"Beef liver, Sweet potato, Cod liver oil"
Spinal muscular atrophy/motor neuron diseases,Sardines & Spinach with Cod liver oil,"Sardines, Spinach, Cod liver oil"
Spinal muscular atrophy/motor neuron diseases,Mackerel with Spinach & Sweet potato,"Mackerel, Spinach, Sweet potato"
Spinal muscular atrophy/motor neuron diseases,Beef liver & Sardines Stew with Sweet potato,"Beef liver, Sardines, Sweet potato"
Spinal muscular atrophy/motor neuron diseases,Beef liver & Mackerel Stew with Spinach,"Beef liver, Mackerel, Spinach"
Spinal muscular atrophy/motor neuron diseases,Beef liver & Spinach with Wheat germ,"Beef liver, Spinach, Wheat germ"
Spinal muscular atrophy/motor neuron diseases,Beef liver & Sweet potato with Sunflower seeds,"Beef liver, Sweet potato, Sunflower seeds"
Spinal muscular atrophy/motor neuron diseases,Sardines & Spinach with Sunflower seeds,"Sardines, Spinach, Sunflower seeds"
Spinal muscular atrophy/motor neuron diseases,Mackerel & Spinach with Cod liver oil,"Mackerel, Spinach, Cod liver oil"
Spina bifida,Beef liver & Spinach Lentils Stew,"Beef liver, Spinach, Lentils"
Spina bifida,Beef liver & Spinach Chickpeas Stew,"Beef liver, Spinach, Chickpeas"
Spina bifida,Sardines & Broccoli Lentils Stew,"Sardines, Broccoli, Lentils"
Spina bifida,Sardines & Broccoli Chickpeas Stew,"Sardines, Broccoli, Chickpeas"
Spina bifida,Eggs & Asparagus Lentils Stew,"Eggs, Asparagus, Lentils"
Spina bifida,Eggs & Asparagus Chickpeas Stew,"Eggs, Asparagus, Chickpeas"
Spina bifida,Mackerel & Lentils Stew,"Mackerel, Lentils"
Spina bifida,Mackerel & Chickpeas Stew,"Mackerel, Chickpeas"
Spina bifida,Oysters & Lentils Stew,"Oysters, Lentils"
Spina bifida,Oysters & Chickpeas Stew,"Oysters, Chickpeas"
Spina bifida,Beef & Lentils Stew,"Beef, Lentils"
Spina bifida,Beef & Chickpeas Stew,"Beef, Chickpeas"
Spina bifida,Salmon & Lentils Stew,"Salmon, Lentils"
Spina bifida,Salmon & Chickpeas Stew,"Salmon, Chickpeas"
Spina bifida,Herring & Lentils Stew,"Herring, Lentils"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Beef & Spinach Brown Rice Bowl,"Beef, Spinach, Brown rice"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Beef & Spinach Oat Porridge,"Beef, Spinach, Oats"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Lamb & Sweet potato Brown Rice Bowl,"Lamb, Sweet potato, Brown rice"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Lamb & Sweet potato Oat Porridge,"Lamb, Sweet potato, Oats"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Chicken & Brown rice Bowl,"Chicken, Brown rice"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Chicken & Oats Porridge,"Chicken, Oats"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Beef liver & Brown rice Bowl,"Beef liver, Brown rice"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Beef liver & Oats Porridge,"Beef liver, Oats"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Cod & Brown rice Bowl,"Cod, Brown rice"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Cod & Oats Porridge,"Cod, Oats"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Beef heart & Brown rice Bowl,"Beef heart, Brown rice"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Beef heart & Oats Porridge,"Beef heart, Oats"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Sardines & Brown rice Bowl,"Sardines, Brown rice"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Sardines & Oats Porridge,"Sardines, Oats"
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,Mackerel & Brown rice Bowl,"Mackerel, Brown rice"
X-linked muscular dystrophy,Beef with Spinach & Sweet potato,"Beef, Spinach, Sweet potato"
X-linked muscular dystrophy,Beef & Spinach with Cod liver oil,"Beef, Spinach, Cod liver oil"
X-linked muscular dystrophy,Lamb & Sweet potato with Cod liver oil,"Lamb, Sweet potato, Cod liver oil"
X-linked muscular dystrophy,Lamb with Spinach & Sweet potato,"Lamb, Spinach, Sweet potato"
X-linked muscular dystrophy,Beef & Lamb Stew with Spinach,"Beef, Lamb, Spinach"
X-linked muscular dystrophy,Beef & Spinach with Sunflower seeds,"Beef, Spinach, Sunflower seeds"
X-linked muscular dystrophy,Beef & Sweet potato with Cod liver oil,"Beef, Sweet potato, Cod liver oil"
X-linked muscular dystrophy,Lamb & Spinach with Cod liver oil,"Lamb, Spinach, Cod liver oil"
X-linked muscular dystrophy,Chicken with Spinach & Sweet potato,"Chicken, Spinach, Sweet potato"
X-linked muscular dystrophy,Beef & Lamb Stew with Sweet potato,"Beef, Lamb, Sweet potato"
X-linked muscular dystrophy,Beef & Chicken Stew with Spinach,"Beef, Chicken, Spinach"
X-linked muscular dystrophy,Beef & Sweet potato with Sunflower seeds,"Beef, Sweet potato, Sunflower seeds"
X-linked muscular dystrophy,Lamb & Spinach with Sunflower seeds,"Lamb, Spinach, Sunflower seeds"
X-linked muscular dystrophy,Chicken & Spinach with Cod liver oil,"Chicken, Spinach, Cod liver oil"
X-linked muscular dystrophy,Beef liver with Spinach & Sweet potato,"Beef liver, Spinach, Sweet potato"
Myotonia,Chicken & Spinach Brown Rice Bowl,"Chicken, Spinach, Brown rice"
Myotonia,Chicken & Spinach Oat Porridge,"Chicken, Spinach, Oats"
Myotonia,Salmon & Sweet potato Brown Rice Bowl,"Salmon, Sweet potato, Brown rice"
Myotonia,Salmon & Sweet potato Oat Porridge,"Salmon, Sweet potato, Oats"
Myotonia,Egg yolk & Kale Brown Rice Bowl,"Egg yolk, Kale, Brown rice"
Myotonia,Egg yolk & Kale Oat Porridge,"Egg yolk, Kale, Oats"
Myotonia,Beef liver & Broccoli Brown Rice Bowl,"Beef liver, Broccoli, Brown rice"
Myotonia,Beef liver & Broccoli Oat Porridge,"Beef liver, Broccoli, Oats"
Myotonia,Sardines & Brown rice Bowl,"Sardines, Brown rice"
Myotonia,Sardines & Oats Porridge,"Sardines, Oats"
Myotonia,Bone meal & Brown rice Bowl,"Bone meal, Brown rice"
Myotonia,Bone meal & Oats Porridge,"Bone meal, Oats"
Myotonia,Sardines with bones & Brown rice Bowl,"Sardines with bones, Brown rice"
Myotonia,Sardines with bones & Oats Porridge,"Sardines with bones, Oats"
Myotonia,Mackerel & Brown rice Bowl,"Mackerel, Brown rice"
Masticatory muscle myositis - eosinophilic myositis,Salmon & Spinach Chickpeas Stew,"Salmon, Spinach, Chickpeas"
Masticatory muscle myositis - eosinophilic myositis,Salmon & Spinach Brown Rice Bowl,"Salmon, Spinach, Brown rice"
Masticatory muscle myositis - eosinophilic myositis,Sardines & Sweet potato Chickpeas Stew,"Sardines, Sweet potato, Chickpeas"
Masticatory muscle myositis - eosinophilic myositis,Sardines & Sweet potato Brown Rice Bowl,"Sardines, Sweet potato, Brown rice"
Masticatory muscle myositis - eosinophilic myositis,Mackerel & Chickpeas Stew,"Mackerel, Chickpeas"
Masticatory muscle myositis - eosinophilic myositis,Mackerel & Brown rice Bowl,"Mackerel, Brown rice"
Masticatory muscle myositis - eosinophilic myositis,Herring & Chickpeas Stew,"Herring, Chickpeas"
Masticatory muscle myositis - eosinophilic myositis,Herring & Brown rice Bowl,"Herring, Brown rice"
Masticatory muscle myositis - eosinophilic myositis,Egg yolk & Chickpeas Stew,"Egg yolk, Chickpeas"
Masticatory muscle myositis - eosinophilic myositis,Egg yolk & Brown rice Bowl,"Egg yolk, Brown rice"
Masticatory muscle myositis - eosinophilic myositis,Beef liver & Chickpeas Stew,"Beef liver, Chickpeas"
Masticatory muscle myositis - eosinophilic myositis,Beef liver & Brown rice Bowl,"Beef liver, Brown rice"
Masticatory muscle myositis - eosinophilic myositis,Oysters & Chickpeas Stew,"Oysters, Chickpeas"
Masticatory muscle myositis - eosinophilic myositis,Oysters & Brown rice Bowl,"Oysters, Brown rice"
Masticatory muscle myositis - eosinophilic myositis,Beef & Chickpeas Stew,"Beef, Chickpeas"
Legg-Calv̩-Perthes disease,Bone meal & Kale Bowl with Blueberries,"Bone meal, Kale, Blueberries"
Legg-Calv̩-Perthes disease,Bone meal with Kale & Broccoli,"Bone meal, Kale, Broccoli"
Legg-Calv̩-Perthes disease,Sardines with bones & Broccoli Bowl with Blueberries,"Sardines with bones, Broccoli, Blueberries"
Legg-Calv̩-Perthes disease,Sardines with bones & Bell pepper Bowl with Blueberries,"Sardines with bones, Bell pepper, Blueberries"
Legg-Calv̩-Perthes disease,Salmon & Bell pepper Bowl with Blueberries,"Salmon, Bell pepper, Blueberries"
Legg-Calv̩-Perthes disease,Salmon & Sweet potato Bowl with Blueberries,"Salmon, Sweet potato, Blueberries"
Legg-Calv̩-Perthes disease,Egg yolk & Sweet potato Bowl with Blueberries,"Egg yolk, Sweet potato, Blueberries"
Legg-Calv̩-Perthes disease,Egg yolk & Blueberries Bowl,"Egg yolk, Blueberries"
Legg-Calv̩-Perthes disease,Beef liver & Blueberries Bowl,"Beef liver, Blueberries"
Legg-Calv̩-Perthes disease,Sardines & Blueberries Bowl,"Sardines, Blueberries"
Legg-Calv̩-Perthes disease,Chicken feet & Blueberries Bowl,"Chicken feet, Blueberries"
Legg-Calv̩-Perthes disease,Green-lipped mussel & Blueberries Bowl,"Green-lipped mussel, Blueberries"
Legg-Calv̩-Perthes disease,Bone broth & Blueberries Bowl,"Bone broth, Blueberries"
Legg-Calv̩-Perthes disease,Bone meal & Broccoli Bowl with Blueberries,"Bone meal, Broccoli, Blueberries"
Legg-Calv̩-Perthes disease,Sardines with bones & Kale Bowl with Blueberries,"Sardines with bones, Kale, Blueberries"
Dilated cardiomyopathy,Beef heart & Spinach Brown Rice Bowl,"Beef heart, Spinach, Brown rice"
Dilated cardiomyopathy,Beef heart & Spinach Oat Porridge,"Beef heart, Spinach, Oats"
Dilated cardiomyopathy,Chicken & Brown rice Bowl,"Chicken, Brown rice"
Dilated cardiomyopathy,Chicken & Oats Porridge,"Chicken, Oats"
Dilated cardiomyopathy,Turkey & Brown rice Bowl,"Turkey, Brown rice"
Dilated cardiomyopathy,Turkey & Oats Porridge,"Turkey, Oats"
Dilated cardiomyopathy,Lamb & Brown rice Bowl,"Lamb, Brown rice"
Dilated cardiomyopathy,Lamb & Oats Porridge,"Lamb, Oats"
Dilated cardiomyopathy,Sardines & Brown rice Bowl,"Sardines, Brown rice"
Dilated cardiomyopathy,Sardines & Oats Porridge,"Sardines, Oats"
Dilated cardiomyopathy,Salmon & Brown rice Bowl,"Salmon, Brown rice"
Dilated cardiomyopathy,Salmon & Oats Porridge,"Salmon, Oats"
Dilated cardiomyopathy,Beef & Brown rice Bowl,"Beef, Brown rice"
Dilated cardiomyopathy,Beef & Oats Porridge,"Beef, Oats"
Dilated cardiomyopathy,Beef liver & Brown rice Bowl,"Beef liver, Brown rice"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Beef heart & Spinach Brown Rice Bowl,"Beef heart, Spinach, Brown rice"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Beef heart & Spinach Oat Porridge,"Beef heart, Spinach, Oats"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Chicken & Brown rice Bowl,"Chicken, Brown rice"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Chicken & Oats Porridge,"Chicken, Oats"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Turkey & Brown rice Bowl,"Turkey, Brown rice"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Turkey & Oats Porridge,"Turkey, Oats"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Lamb & Brown rice Bowl,"Lamb, Brown rice"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Lamb & Oats Porridge,"Lamb, Oats"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Sardines & Brown rice Bowl,"Sardines, Brown rice"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Sardines & Oats Porridge,"Sardines, Oats"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Beef & Brown rice Bowl,"Beef, Brown rice"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Beef & Oats Porridge,"Beef, Oats"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Chicken breast & Brown rice Bowl,"Chicken breast, Brown rice"
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),Chicken breast & Oats Porridge,"Chicken breast, Oats"
