annotation_folder,annotation_breed,cidd_breed,matched
n02090721-Irish_wolfhound,Irish_wolfhound,Irish wolfhound,yes
n02091032-Italian_greyhound,Italian_greyhound,Italian greyhound,yes
n02085782-Japanese_spaniel,Japanese_spaniel,,no
n02112350-keeshond,keeshond,Keeshond,yes
n02105412-kelpie,kelpie,Australian kelpie,partial
n02093859-Kerry_blue_terrier,Kerry_blue_terrier,Kerry blue terrier,yes
n02105505-komondor,komondor,Komondor,yes
n02104029-kuvasz,kuvasz,Kuvasz,yes
n02099712-Labrador_retriever,Labrador_retriever,Labrador retriever,yes
n02095570-Lakeland_terrier,Lakeland_terrier,Lakeland terrier,yes
n02111129-Leonberg,Leonberg,,no
n02098413-Lhasa,Lhasa,Lhasa apso,partial
n02110063-malamute,malamute,Alaskan malamute,partial
n02105162-malinois,malinois,Belgian Malinois,partial
n02085936-Maltese_dog,Maltese_dog,,no
n02113978-Mexican_hairless,Mexican_hairless,,no
n02107312-miniature_pinscher,miniature_pinscher,Miniature pinscher,yes
n02113712-miniature_poodle,miniature_poodle,,no
n02097047-miniature_schnauzer,miniature_schnauzer,,no
n02111277-Newfoundland,Newfoundland,Newfoundland,yes
n02094114-Norfolk_terrier,Norfolk_terrier,Norfolk terrier,yes
n02091467-Norwegian_elkhound,Norwegian_elkhound,Norwegian elkhound,yes
n02094258-Norwich_terrier,Norwich_terrier,Norwich terrier,yes
n02105641-Old_English_sheepdog,Old_English_sheepdog,Old English sheepdog,yes
n02091635-otterhound,otterhound,Otterhound,yes
n02086910-papillon,papillon,Papillon,yes
n02086079-Pekinese,Pekinese,,no
n02113023-Pembroke,Pembroke,Pembroke Welsh corgi,partial
n02112018-Pomeranian,Pomeranian,Pomeranian,yes
n02110958-pug,pug,Pug,yes
n02090379-redbone,redbone,Redbone coonhound,partial
n02087394-Rhodesian_ridgeback,Rhodesian_ridgeback,Rhodesian ridgeback,yes
n02106550-Rottweiler,Rottweiler,Rottweiler,yes
n02109525-Saint_Bernard,Saint_Bernard,Saint Bernard,yes
n02091831-Saluki,Saluki,Saluki,yes
n02111889-Samoyed,Samoyed,Samoyed,yes
n02104365-schipperke,schipperke,Schipperke,yes
n02097298-Scotch_terrier,Scotch_terrier,,no
n02092002-Scottish_deerhound,Scottish_deerhound,Scottish deerhound,yes
n02095889-Sealyham_terrier,Sealyham_terrier,Sealyham terrier,yes
n02105855-Shetland_sheepdog,Shetland_sheepdog,Shetland sheepdog,yes
n02086240-Shih-Tzu,Shih-Tzu,Shih tzu,yes
n02110185-Siberian_husky,Siberian_husky,Siberian husky,yes
n02097658-silky_terrier,silky_terrier,Silky terrier,yes
n02098105-soft-coated_wheaten_terrier,soft-coated_wheaten_terrier,Soft coated wheaten terrier,yes
n02093256-Staffordshire_bullterrier,Staffordshire_bullterrier,,no
n02113799-standard_poodle,standard_poodle,,no
n02097209-standard_schnauzer,standard_schnauzer,,no
n02102480-Sussex_spaniel,Sussex_spaniel,Sussex spaniel,yes
n02108551-Tibetan_mastiff,Tibetan_mastiff,Mastiff,partial
n02097474-Tibetan_terrier,Tibetan_terrier,Tibetan terrier,yes
n02113624-toy_poodle,toy_poodle,,no
n02087046-toy_terrier,toy_terrier,,no
n02100583-vizsla,vizsla,Vizsla,yes
n02089867-Walker_hound,Walker_hound,,no
n02092339-Weimaraner,Weimaraner,Weimaraner,yes
n02102177-Welsh_springer_spaniel,Welsh_springer_spaniel,Welsh springer spaniel,yes
n02098286-West_Highland_white_terrier,West_Highland_white_terrier,West Highland white terrier,yes
n02091134-whippet,whippet,Whippet,yes
n02095314-wire-haired_fox_terrier,wire-haired_fox_terrier,,no
n02094433-Yorkshire_terrier,Yorkshire_terrier,Yorkshire terrier,yes
,,Akbash dog,cidd_only
,,Akita,cidd_only
,,American bulldog,cidd_only
,,American pit bull terrier,cidd_only
,,American water spaniel,cidd_only
,,Australian cattle dog,cidd_only
,,Australian shepherd,cidd_only
,,Basset hound,cidd_only
,,Belgian Tervuren,cidd_only
,,Belgian sheepdog,cidd_only
,,Bichon frise,cidd_only
,,Black Russian terrier,cidd_only
,,Boston terrier,cidd_only
,,Brussels Griffon,cidd_only
,,Bull Terrier - Miniature,cidd_only
,,Bull terrier,cidd_only
,,Canaan dog,cidd_only
,,Cavalier King Charles spaniel,cidd_only
,,"Cocker spaniel, English",cidd_only
,,Collie (rough and smooth),cidd_only
,,Coton de tulear,cidd_only
,,Dachshund,cidd_only
,,Dalmatian,cidd_only
,,English (British) bulldog,cidd_only
,,English toy spaniel,cidd_only
,,Field spaniel,cidd_only
,,Finnish spitz,cidd_only
,,"Fox terrier, smooth",cidd_only
,,"Fox terrier, wire hair",cidd_only
,,German shorthaired pointer,cidd_only
,,German wirehaired pointer,cidd_only
,,Greyhound,cidd_only
,,Harrier,cidd_only
,,Havanese,cidd_only
,,Japanese Chin,cidd_only
,,Karelien bear dog,cidd_only
,,Large Munsterlander,cidd_only
,,Lowchen,cidd_only
,,Maltese terrier,cidd_only
,,Manchester terrier,cidd_only
,,Miniature bull terrier,cidd_only
,,Neapolitan mastiff,cidd_only
,,Nova Scotia duck tolling retriever,cidd_only
,,Parson (Jack) Russell terrier,cidd_only
,,Pekingese,cidd_only
,,Pharaoh hound,cidd_only
,,Plott hound,cidd_only
,,Pointer (English pointer),cidd_only
,,"Poodle, miniature",cidd_only
,,"Poodle, standard",cidd_only
,,"Poodle, toy",cidd_only
,,Portuguese water dog,cidd_only
,,Puli,cidd_only
,,"Schnauzer, giant",cidd_only
,,"Schnauzer, miniature",cidd_only
,,"Schnauzer, standard",cidd_only
,,Scottish terrier,cidd_only
,,Shar-pei (Chinese shar-pei),cidd_only
,,Shiba Inu,cidd_only
,,Skye terrier,cidd_only
,,Sough African Boerboel,cidd_only
,,Staffordshire bull terrier,cidd_only
,,Tibetan spaniel,cidd_only
,,"Welsh Corgi, Cardigan",cidd_only
,,Welsh terrier,cidd_only
,,Wire-haired pointing griffon,cidd_only
